ID,Group,Feature_1,Feature_2,Feature_3
ID763,C,2038.7363723893222,409.9611067541713,956.1983728200935
ID204,C,2201.0251467336293,415.58471678143883,812.2254046177356
ID734,C,2130.1861214352143,395.13026862827667,875.1760936905866
ID422,B,1824.4933198515218,398.70465005096537,6131.416991827729
ID559,C,2873.9641764711578,415.8214291411761,-214.2026287037943
ID432,A,2433.373060094543,379.873119195379,8023.055318357474
ID337,B,2692.7792286282724,414.6295824573051,7584.707827810319
ID347,C,2430.001373808943,425.7597410814705,232.63068355259202
ID774,C,2129.564099873711,402.13984015773525,866.2349526617236
ID142,B,2788.601421541576,416.47039467675205,7870.507588153645
ID892,B,2554.736290202991,411.7418930079609,7664.578597784348
ID898,B,2318.898959626831,394.0315382023772,6832.273321187848
ID345,B,3055.8052498993998,405.9468916828153,8324.274362028786
ID290,A,2700.24208459903,397.0518108489631,8950.06208109741
ID853,B,2147.396401913393,399.5511811674283,6908.8192173033785
ID581,C,2443.7302079479987,423.3823306963292,971.1020338720018
ID602,A,2303.909709554573,410.72865643217267,7535.333446531311
ID179,A,2899.9309703269123,375.33269596468114,9453.54200869326
ID584,A,1964.4664661785785,394.5219685775949,6359.880749276845
ID707,A,2641.0693064565457,405.84469714493724,9245.597764684037
ID154,A,2775.6233283167303,413.05386019573274,8915.82936050052
ID442,A,2510.985443367062,414.8010037725804,7425.837434739998
ID849,C,2744.5847145758203,410.7716085443183,-29.99023653697941
ID119,A,2478.132022690595,387.0257272057348,7739.915626327387
ID790,A,2722.9181006147114,396.3541521783156,8796.462081392148
ID619,C,2773.809949336477,400.88071812890814,489.54174484659916
ID488,C,2449.454952753134,407.0271815254031,-69.97461214493251
ID554,A,2798.081890956013,408.76451309375017,8372.578559164103
ID259,A,2313.622007034311,393.9371655459834,7853.3757212082355
ID873,B,2417.455554103725,429.86595316842846,7442.431215078209
ID697,B,2164.7886716241155,409.20081086039244,6696.910380131254
ID701,C,2688.937266845657,396.3023743228286,-120.7728928297538
ID416,C,2222.4227173545423,387.74626393436995,968.5071735746683
ID338,B,1752.550822609197,381.4314714598495,5427.594432806496
ID224,B,2602.3928656166413,397.81572547352994,8091.2715872504905
ID227,C,2278.035750117384,420.07466358914854,331.93855847817326
ID107,B,2431.702470826284,416.82056199866867,7388.091772598886
ID127,A,2422.60769839441,416.5531118367856,7555.909811993414
ID309,B,1695.1022847635636,404.4825640233127,6516.222132521472
ID477,C,2877.365316365235,402.0626947262458,-143.11991423258587
ID655,B,3165.1444290627933,397.77569079890907,8950.659953370183
ID257,A,2788.0056709623814,369.0840424192474,9117.185213709734
ID261,C,2244.10812013663,386.59647500503024,495.81442151226474
ID181,B,2322.656468097964,403.2766217656052,7268.671643876663
ID313,B,2866.6093833908044,406.9677508766044,7545.84491561076
ID141,C,2058.3339274433315,367.8365264464028,770.9704794148765
ID434,B,3001.4552350669815,380.4286854126435,8552.407554578318
ID757,C,2635.9305589883043,420.5595849308938,137.30024569853003
ID156,A,2539.483327855194,418.6392898418217,8155.058012160062
ID893,B,2502.16350112539,367.7148826832847,7395.517663478551
ID310,A,2442.6849287775112,434.2948984938407,8371.947730544474
ID272,B,2761.05766193059,395.8517282663285,8576.542682632393
ID117,B,2420.7634468019596,396.44374911773167,7666.569330833872
ID794,B,2686.8928901659915,414.76386996421513,8093.3215632541815
ID459,C,1876.6845338903308,420.7181399380927,971.4766454893704
ID408,A,2279.099272259744,399.5506452793841,7555.312676103744
ID489,A,2311.9407519506058,387.85335753366604,7466.2902690572555
ID125,B,2429.2686273833947,390.9056587461872,7387.114409305994
ID476,C,2125.688101823326,408.66772131950484,936.0901373874622
ID134,B,2449.1541013019905,372.7094543002588,7151.741289731827
ID403,A,2454.0377537734025,403.5791131121713,7974.589587338599
ID212,C,2299.373316109795,404.64802153888724,1013.7564391069889
ID878,C,2692.404849922838,423.3194110812999,63.19239430628977
ID640,B,2181.927678394434,398.1545785764231,6615.21161266147
ID366,C,2523.7098519623996,421.1297693248482,699.7178988475439
ID220,B,2558.396226612692,406.19075080797603,7308.784521998927
ID710,B,2879.9958491427647,401.94987687657306,7996.603712536505
ID616,C,2176.0835392959093,406.1652879304747,1002.5697579273988
ID333,A,3162.5453764134004,372.53089457254606,9914.998255668863
ID547,A,2142.8077832083727,412.25517182373255,7082.204825423964
ID455,B,2825.4642035068878,394.76173943855525,8412.306438572876
ID534,A,2759.685812111574,402.3684357245373,8964.566748122106
ID180,C,2450.3734578474428,392.39168805330877,295.5435700672697
ID254,A,2299.0900453897193,410.7202808650936,7359.643419100863
ID556,A,2188.355987752258,400.7993761049961,6743.482621851198
ID496,A,2595.7492993138417,440.73980195826806,8240.157960804852
ID176,B,2452.7694447429712,412.2385231438701,7968.992085094201
ID359,B,2307.866768418426,396.49128982504504,7053.394250534791
ID284,B,2267.5039414793982,401.3690945985052,6816.5029827358885
ID814,C,2391.886936248395,401.081322195649,637.1535738486073
ID226,C,2565.989356699892,395.96432395027904,609.5043881419401
ID654,A,2711.175904593838,410.0374910500638,8499.678201306891
ID676,C,2725.3989756496844,386.3972440198237,-15.159399110870254
ID108,A,2936.566478018846,391.7039412333505,9796.382262048408
ID698,B,2309.3174886816264,374.5526374611853,7149.978204683876
ID274,A,2414.203058307815,384.8278217111263,8143.973349142927
ID285,B,2273.202193843428,399.86134811976865,6510.86477502193
ID208,C,2874.6500036723696,415.1569463468335,-188.56235851850033
ID809,C,2827.689260014666,382.44313860868976,695.5601829033817
ID207,C,2513.394883104896,397.5422823983927,339.5849785130372
ID388,B,2099.977202654935,382.1717309850797,6640.1718712993315
ID152,B,2287.610611862365,402.22641423728476,7228.936393075475
ID576,B,2672.8121306105613,410.722293920237,7614.365121774105
ID682,A,2799.6914861951977,426.68746906212635,8404.74572883691
ID214,B,2454.7068945877104,402.9149112509689,7832.173007628721
ID262,C,2858.143809547422,399.8164626634883,-709.3213745871458
ID308,B,2471.5893749258225,396.4782003077175,7093.6519682908465
ID316,B,2642.9855851355096,378.77535652164994,7965.105924570002
ID195,C,2098.265379423267,399.3559433554537,1265.6728321852802
ID360,B,2674.667035457693,414.9177271379294,7789.71850549246
ID132,B,2603.379702017194,398.2557074493919,8129.521848396176
ID209,A,2593.327620559839,395.2812796545385,8956.3867414963
ID399,B,2580.389417655953,418.043436473497,7471.388455310083
ID424,A,2380.0655614630437,403.2506402756844,8192.706548840835
ID538,B,2645.2710717772375,428.7093311041732,7935.185147756402
ID193,A,2789.9221147865596,389.75280497199265,8993.478142705184
ID649,A,1732.0168796825678,392.47881312872596,5602.44802589824
ID627,B,2531.4987155463077,414.9666480690389,7741.962005683332
ID158,A,2715.8924883910854,374.2713544945231,8595.126890419688
ID319,A,2601.590500588193,409.3302931258691,8449.842650835793
ID764,C,2058.7295955996105,415.0556666574954,678.2893867135476
ID161,A,2555.054360211856,407.43319038667175,8201.414724931294
ID203,B,2839.9752883311758,418.08648535214894,8064.8893515212
ID693,B,2128.437791256762,376.7758909117668,6503.839905503983
ID264,C,2242.357383329058,402.84017823188117,360.6367093627
ID509,C,2759.053371920368,394.6264885897083,807.4934809022257
ID305,C,2358.1215677320174,402.66872055210104,737.0014790458126
ID662,A,2684.960743467986,394.04425253008304,8698.563587829052
ID121,C,2362.684183787767,400.67703719020835,545.0003127585528
ID721,B,2025.5864609212724,418.1412645659865,6573.392671596115
ID692,A,2698.6185015564715,393.62319612490387,8476.91236721728
ID405,C,2459.8613947106514,399.4769900720654,129.58202923285717
ID380,C,2845.56990942884,405.3741086427705,98.28834220231329
ID371,C,2981.204327314016,400.63221744135154,-427.7509239514475
ID168,A,2862.5716802573847,390.5396119125302,8801.183311626657
ID541,C,2001.8242194408554,398.6573904836404,984.362937847764
ID641,C,2026.8217351475737,404.3964090385372,709.3262828348315
ID382,A,2610.7128403478796,403.96901552969393,8247.679145388785
ID683,B,2572.626306450637,404.9126318306433,8063.076661628509
ID883,C,2215.222470269928,413.1227068646955,970.87195780821
ID733,A,2611.368958007943,421.49028454061835,8087.472565654929
